,Time_submitted,Review,Rating,Total_thumbsup,Reply
36132,2022-04-14 03:51:06,Too many ads why are there ads I look every and every and every and just ads the ads are about how annoying the ads are if you know your annoying stop being annoying just ads I forget what this app does all I know is it just has ads mobile games should take notes of these ads cause so many why so many your tearing my apart it's horrible it's loud the ads they yell at me please be quite this is a libary they say they be gone for 30 mins they came back in 6 mins do ads know time please don't ads,1,14,
658,2022-07-08 04:04:24,Won't play other songs after clicking the play button and I can't figure out where to turn off shuffle for my liked Playlist.,1,0,
27520,2022-04-29 16:30:51,No playback feature on Android since March 2022. Uninstalled. You guys completely fail as a business. This is outrageous,1,0,
12073,2022-06-12 13:01:22,App consistently closes by itself just after opening it nearly every time for the last week. Please update,1,0,
12839,2022-06-10 14:31:54,Crashes all the time!,1,0,
1739,2022-07-05 20:53:17,"Many problems with this app. #1 You can’t even play the songs you want. Every time I shuffle play liked songs or my own playlists it just plays songs that aren’t even there. #2 Too much ads. #3 Whenever I search for a song, I have to go through every single playlist that appeared till I find the one I want, sometimes I don’t even find it. #4 You have 6 skips every hour but can’t even play what you want so I just skip to the song I want but then my skips are just wasted. You need to fix this.",1,4,
52609,2022-02-13 21:58:20,It use to be so good until the shuffle and it's annoying that there is not setting to turn it off,2,0,
53183,2022-02-11 14:40:53,"The songs are good and all but why does it has so many ads after 1 vid and another also it wont let me play another music if i paused another one, i cant choose which song to play bc i have to shuffle on my playlist, the repeat option aint visible for me anymore(?)",2,2,
12758,2022-06-10 18:36:26,"They will often ""upgrade"" you to more expensive plans without notice and to make it better, returning to your original plan is difficult and time consuming. Stolen money is not returned.",1,0,
6619,2022-06-24 20:46:53,"Had to go back to Spotify Free because Premium was a luxury I can't afford. Being poor is punishment enough without being taunted by awful features of this app. One album I love I haven't heard in entirety for weeks, as if some songs just aren't available. It shuffles in other artists, and plays songs already set to hidden, then the playlist stops before actual completion and I'm expected to start over with songs I've already listened to? Borderline fascism. Spotify are bullies.",1,0,
20427,2022-05-19 18:11:32,My play button has moved to the left of the screen and the skip and back button is rearranged. Dumb design please put it back to the original,1,1,
38793,2022-04-10 19:21:44,"Use to be ok, Listen to 30 sec comercial and get 30 mins of uninterupted music. Now it sucks, listen to one or two songs and then hear two mins of commercials. This only started during covid pandemic and now all they do is beg for people to pay for premium spotify to stop ads. Im almost ready to delete this app totaly. Dont download this app, youll hate it.",1,0,
7119,2022-06-23 18:12:36,Really?3 ads every time I start anything?,1,0,
39137,2022-04-09 13:51:58,"Suddenly the app bugs and I get lost for wanting to use the most BASIC features (find the player, unblock a song etc...). I have to restart the app to find it again.. not expecting that form the biggest music streaming app",2,1,
32007,2022-04-20 12:27:44,"App used to work good till update on my samsung s10. Now i click a song and it doesnt come up that im playing audio but its playing. So i cant pause it in the bottom corner, skip to the next song or anything. On my lockscreen it appears like im not playing audio.",1,2,
57331,2022-01-29 07:15:57,Uninstalling. Done with Spotify's dramas and seemingly recurring bad business decisions.,1,3,
35586,2022-04-14 16:41:42,"App stops at random times. Won't load proper. Autoplays stuff I don't want to hear. Skips episodes I am listening too. If it was for Joe Rogan, I wouldn't allow this on my devices. 👎👎👎👎👎",1,0,
263,2022-07-08 22:57:22,Crashed & support doesn't give a damn. After contacting they gave up because every trouble shoot option they have DOES NO DIFFERENCE.,1,0,
23206,2022-05-11 15:43:44,Very hard to use. Still can't get it set up,1,0,
33974,2022-04-16 22:49:17,Spotify is being a complete prick lately! Why!?,1,0,
2130,2022-07-05 00:09:22,This app doesn't let your critique anything; whether it be like racist or single minded podcasts like behind the bastards or necronomipod. I find it quite humorous that such a large business could be so reckless when so many of their podcast creators destroy lives without little to any evidence.,1,0,
7696,2022-06-22 13:24:43,WORST APP I EVER USED!. I always want to play my songs but it never let's me! Like what the frick. This Is why I think Amazon music is better and simple. This is the worst app ever.,1,0,
33214,2022-04-18 12:30:49,Keeps on crashing after finishing to dload my playlists and transfer the storage to my sd card,1,1,
59217,2022-01-22 19:38:10,Ads are perfectly fine but horror ads at night is a very bad idea. Please consider this thing. I seriously got a mini heart attack for a second.,1,3,
39031,2022-04-09 22:44:22,"About recent bugs Fix your app Spotify, I pay for this, the not playing bug is really annoying, and it dropped out with this update!!! I swear I'll be going to alternative apps...",1,2,
17324,2022-05-29 00:28:00,"I don't know why whenever I open Spotify, it's slow and can't run smoothly. I'm not sure if it's my connection issue but the other app works just fine. I use wifi and have unlimited data yet not working properly. The horrible thing is I can't purchase premium. The code hasn't been delivered to me since yesterday. Idk but this app keeps getting worse.",1,138,
46447,2022-03-08 19:00:28,"I use this app often today i spent 2hrs listening music and after 2-3hrs i opened the app again and it showed u have no acc like how's this possible ? And then i tried login with my phone number nd every time it shows something went wrong i am so annoyed by this app i can't even explain how frustrated i m rn . This happened before also but then i created a new id . I was enjoying my playlist which i had made,my liked songs and all . I don't know why it's showing error. Please look forward to it",1,0,
54664,2022-02-06 12:05:23,It was good in the first but now when I play my playlist it recommend me songs yet I can't play the songs in my playlist and just show a part of it,2,1,
41194,2022-03-30 16:58:52,"My liked song playlist is 2500+ songs, but it only plays the same 50 until i hit the shuffle button again.",2,8,
37222,2022-04-13 00:54:20,"I love this app, it has all of my music. But lately, it has been very buggy. The play bar keeps disappearing please fix this",2,0,
47090,2022-03-08 18:28:50,"It was workimg fine, untill it logged me out of my account. When I tried to log in it took me to creat an account. No method is working. This is present only in Google pixel 6. Please fix this ASAP",1,2,
7332,2022-06-23 08:31:28,"I really have to pay for everything :'( I already have the ads, can't I have the freedom to play the song I want to.",1,1,
8512,2022-06-20 18:55:58,"I absolutely hate this app now. You took away everything i loved about it, I can no longer loop the songs nor can I play a song when a different song is playing. I updated it and that is not the issue. I HIGHLY do NOT recommend this WHATSOEVER.",1,1,
45219,2022-03-12 21:32:16,"Group sessions used to be great, but with the recent updates it is absolutely impossible to join a group session - a friend sent me a link and I clicked it to join, but when the app opens from the link, it is as if nothing has happened. Why switch from the excellent system you had, to this absolute shambles?",2,11,
33596,2022-04-17 17:10:44,The new update broke the freaking app. It keeps pausing my music randomly and resuming at will and the currently playing bar keeps disappearing. I run it on Samsung Ultra 22 and did not have problems until the last update.,1,2,
29167,2022-04-25 19:23:13,Horrible app can't choose a song to listen to only an album and they give you ads and limited skips needs to be updated badly,1,0,
25109,2022-05-06 09:36:40,"The music is great and all but the ads... just because you played the ads doesn't mean that i'll just spend my money on music, I also don't even like the idea of collaborating the playlist with my friends",2,0,
35534,2022-04-14 17:28:10,"good app, but some how the play , stop, pause section has suddenly stop I cannot access it at all, tried all the rest still not working",1,1,
56296,2022-02-01 05:12:31,No prolicing of content allows for a ton of misinformation to spew from Spotify podcasts. I'm looking to move my premium account to another platform.,1,1,
30120,2022-04-23 14:23:21,"""Your username is designed to identify you, so you can't change it"". It no longer identifies me, though...?! Why would you do this and ruin the experience for many people? I might have to make a new account and delete mine in the future in order to be safe. No reason to pay either if experiences are ruined at random by no username changes. Friend activity also is broken and unable to be turned on.",1,5,
34514,2022-04-16 00:31:34,"The entire app breaks every few updates, it's like they have no quality control. It's not just my phone brand either, everyone in my family's Spotify apps have become borderline unusable with this most recent update.",1,2,
28352,2022-04-27 14:35:45,You suggest us to create our own playlist yet you play the song that didnt even listed in our list. You fckng donkey,1,0,
41889,2022-03-27 01:32:56,"Multiple Playlists created, all are hours long. Only hear the same 30-40 minutes worth of songs. But than again, what do you expect from an app that has a Stockholm, Sweden address? I mean it's the same country that gave us ikea. Cheap furniture that lasts a year, yet takes hours to assemble and breaks up Multiple marriages....",1,1,
49209,2022-02-27 18:01:47,Controls not showing up on notification bar and lock screen. 5 stat if my problem gets solved.,2,0,
46587,2022-03-08 18:52:55,"In the middle of listening to a podcast and the app logs me out and won't log back in. Won't keep premium is this is how Spotify's going to ""maintain"" the service.",1,1,
55884,2022-02-02 15:28:31,This app is ridiculous it doesn't accept any debit cards for a free trial in India It always shows payment failed Not expected this from spotify,1,0,
60176,2022-01-18 01:33:11,"Love it for podcasts but I have the premium version but I get ads on the podcasts. Not ones put there by the shows, but Spotify ads. They ruin the flow",1,1,
59369,2022-01-22 06:52:57,Nice app....but there are so many ads in it....its so disturbing....so please remove ads...,2,0,
35156,2022-04-15 02:45:31,Spotify is so buggy now. When you click on songs the control panel at the bottom does not show up and there is noway to get it. You have to close the app. Also music randomly pauses now. My phone is up-to-date and so is the app is updated to the latest version. This is really getting on my nerves as I pay for a family account and it's simply unacceptable now.,1,12,
54227,2022-02-07 22:30:49,Can't access a few of my favorite podcast episodes. We used it because they were supposed to have supported Rogan's freedom online unconditionally. I'll never touch this garbage fire again. I hear piracy is alive and well.,1,0,
35671,2022-04-14 15:17:06,Completely bugged over the past week. Unusable.,1,1,
10715,2022-06-15 16:08:44,"7min of music then 5min of ads Says 30min uninterrupted, 15min later more ads. Less ads on regular radio or free tv, the greed of spotify has ruined the app.",1,0,
34523,2022-04-16 00:09:02,Really need to fix the SD card storage bug so it doesn't have to redownload music after every reboot. It's been years now.,2,3,
29971,2022-04-23 21:07:42,Two ads after every single song,1,0,
45850,2022-03-09 21:55:10,"[Premium] I was one of the many who had the log in glitch for the last couple days. After Uninstalling and reinstalling workout luck, I did contact developer and they sent me a link that brought me back into my account. I was already considering canceling due to them being the worst of all options for paying artists, and now I'm escalating my efforts to pick an alternative. I heard napster (ironically) is the most ethical, so trying them out",2,23,
53532,2022-02-10 10:29:48,"Very confusing and slow to use, stops playing music randomly and doesn't automatically shuffle similar songs. Poor experience.",1,0,
41519,2022-03-29 00:14:04,It's a paid subscription why am i still getting ads.,1,1,
32108,2022-04-20 08:55:00,"Constantly lose the playback bar from my swipe down menu and my lock screen. It also disappeara in the app too, losing the ability to pause music or skip it. I have to force close the app to stop playback. Happens all the time.",1,1,
21732,2022-05-16 02:36:36,Back to back to back to back to back 30 second advertisements even after it said next 30 mins without ads. Have to reset app just to hear music..,2,1,
29933,2022-04-23 22:50:58,Have to Forcestop every time I use Bluetooth in car.,1,1,
47587,2022-03-07 01:50:28,No matter what phone or how many times I update the app is buggy as hell. They should start paying me instead with the amount of bugs and glitches the app itself has. Only spotify of all the apps I have is the biggest annoyance. So with the latest hpdate now I dont have the ability to scroll down my list of 4000 songs like I used to before the update now I have to flick for like a minute or two to find my songs from back then. Seriously spotify quit removing features for no reason.,1,7,
27414,2022-04-29 23:59:54,So disappointed With this app. It no longer shows up coming songs and what's playing. I can't even stop a song as it plays. Spotifys solution is to uninstall the app and do a super clean of all data. And hope for the best.😠 Can't you just fix it? It wasn't broken before.,1,3,
41118,2022-03-31 00:41:31,"Why. Just why. I get 30 minutes of ad free, and then 5 minutes later, I get ads. Why?",1,2,
60441,2022-01-15 16:20:19,"Listening to podcasts on here is driving me nuts. I only downloaded spotify to listen to JRE. If I'm listening to a podcast and out my screen to sleep, the podcast eventually will freeze and no longer play. The podcast player often gets stuck on past episodes title/artwork but is playing a different pidcast and the timestamp freezes so i don't know where I am in the episode.",2,6,
12732,2022-06-10 19:56:03,Upgraded to premium for the purpose of listening to podcasts in a group with my wife while at work and you have to send the invite for her to join the group like 10 times before it finally works. Pauses and skips a lot. Sometimes it will go back a few seconds or more and repeat things. Not impressed at all.,1,0,
40999,2022-03-31 13:13:39,"Disappointed how bad this has got now, honestly dont know why I'm still paying for premium, every track drops out for like 3 seconds in different parts of the song, impossible to enjoy any music I play, the app itself exits on it's own whilst I'm listening to it on my phone, it's a joke, it's got nothing to do with signal or data either as my tracks are downloaded and it does it over wifi too.",1,6,
56504,2022-01-31 13:43:18,"Too many advertisement, all subscription plan very costly, so much Content unavailable.",1,1,
57946,2022-01-27 13:55:59,"There's no Niel Young on here, that's a huge miss for a music streaming app lol.",1,7,
35554,2022-04-14 17:11:46,"App is so buggy now, it's time to cancel my premium family plan, what good is it when it randomly stops, plays wrong songs, takes forever to load, and half the time the controls aren't displayed",1,1,
13217,2022-06-09 13:42:10,Trying to use it for podcasts and it keeps having issues with stopping and not showing the play/track bar,2,0,
45896,2022-03-09 18:14:59,My daughter has been trying to cancel her subscription but no one is answering her back and the email she originally used is no longer active. There is no way to contact a person. Tried calling the number that is connected to the payment that is taken out of my account monthly is absolutely useless.,1,1,
56487,2022-01-31 14:44:14,Deleting from all devices. Public health is neither an issue of free speech or politics. Least of all profit.,1,2,
21359,2022-05-17 00:20:31,Bruh hate the update I should be able to lesson to the songs I want not have random ones in my playlist play I want to be able to lesson to them all not Spotify randomly chosing one I hate this update so much pls Spotify get rid of this up date ! It's horrible worst than sound cloud rn,1,0,
38847,2022-04-10 15:55:02,Garbage app. Worst player right now. Keeps crashing. On a s21 ultra cmon.,1,0,
56571,2022-01-31 08:46:01,"IMO This company is, by its actions, vile and their APK is poorly coded anyways. Just not worth the bother with poor feature set, convoluted functionality along with spreaders in their ranks. Used to be a decent APK but not anymore. Possibly fascist supporters. Ask any musicians: this platform is horrible towards music creators. Uninstalled. There are better alternative APK's. JMHO.",1,2,
24089,2022-05-09 04:46:50,"preview songs has been deprecated, makes it quite difficult to make new playlists and explore new songs.",1,0,
55121,2022-02-05 02:53:22,"the recent update was a trash! lots of app crashes and bugs. I've been planning on switching to apple music because of spotify's stupid user interface, loads of bugs and app crashes",1,2,
25825,2022-05-04 12:26:26,Terrible as hell :( I can't even listen to only my playlist anymore. Spotify even adds other songs i don't like and doesn't let me skip or change it to one of my playlist. I can't even listen to the song i search. Theres no on and off shuffle for none premium. This is a really unfair update. I had to delete it because of that. >:( Clearly a lot of people also has this problem and are forced to delete this app now. This app was really nice and had potential but the update just ruins it.,1,0,
58859,2022-01-24 07:31:59,"After OS update, 1. playback stops randomly. 2. Does not seem to even show progress in UI several podcast episodes later. 3. Premium account refuses to play downloaded albums. (Playlist worked)",1,1,
6438,2022-06-25 08:08:14,Spotify is broken I can't play the song u wanted,1,0,
35035,2022-04-15 06:46:55,"The app keeps doing weird things like the play button and skip buttons disappear and the app sometimes ask me to log in, but I'm already logged in. Since the last update things got really bad in this app making the user experience difficult!",1,0,
21088,2022-05-17 19:46:53,"This app used to be great I used to recommend it to everyone. The reason I'm giving it 2 stars is because I can't rewind a song anymore and if you search for on thing it gives you another. I don't know if you were trying to update the app ,but you made it worse",2,0,
1166,2022-07-07 02:47:32,Way too many ads,1,0,
11696,2022-06-13 11:09:37,"Why the hell there is a hidden option ,in search it is not showing the song if it is hidden",1,0,
35302,2022-04-14 22:35:15,Buggy and unusable. Especially after the last update.,1,2,
46982,2022-03-08 18:34:13,I got logged out mid song and can't log back in through the Facebook tab. I am a premium user. They take money and log me out,1,2,
45499,2022-03-11 16:15:27,Sync problems. Clickin frw many times gets stuck in a loop. Casting to google tv showed no video some times.,1,1,
37443,2022-04-12 19:54:47,New update has broken something. Have to force close app to see music playing and skip songs. massive issue,1,0,
23734,2022-05-10 05:12:12,To much advertisement,1,0,
5166,2022-06-28 07:35:30,"How is there not an option to remove certain tabs like ""shows to try""or ""stay up to date""? The whole point of spotify is finding music that you like. I don't want to be spammed with the newest Trap or Pop or whatever. It is seriously off-putting.",1,0,
21029,2022-05-18 00:19:00,"BRING BACK THE SHUFFLE BUTTON. I read something about Adele saying that tracks are set up in a certain order to tell a story idk of it's true or not. While that may be the case my personal mix now no longer has the shuffle button and believe me when I say there is absolutely no trace of a story in there. If people want to hear this story they'll just play it in the right order, so bring back the shuffle button",2,0,
19746,2022-05-21 19:18:27,"The app is decent for listening to music, but I wish on the free music, you could have six skips and six rewinds. Also, when you hide songs once, you cannot unhide them, which is very frustrating.",2,1,
46628,2022-03-08 18:51:04,"i am really upset, ive been using spotify for a while now and i loved it until the app glitched out and when i tried sighing in again it said my email and password was incorrect and i knew i had the correct email and password bc i always write my emails and passwords down in my book. It made me upset please fix this glitch-",2,0,
34669,2022-04-15 17:50:46,"App crashes several times during a single podcast, something has gone badly wrong since update",2,1,
55761,2022-02-02 23:12:04,Used to use the app every day but i can't justify it now. Buying my own music and listening to what i dont have access to buy on YouTube now. Full of lies and controversy for an app that was supposed to be for listening to music.,1,0,
4698,2022-06-29 07:34:50,"Latest update I cannot pause, fast forward a song or close the app. Review just went from 5 stars to 1 star.",1,0,
51240,2022-02-19 04:40:38,Disappointed!!!!I thought Spotify is where I can choose my own music from my favorite artist and vibe. Well is not like that anymore. Yu choose your artist they pick songs for you and you dont skip if you don't like the one they chose for you. All this just to get us into the premium. We get the ads but how bout choosing my own music like how a Streaming app should be like. Spotify your letting YouTube get ahead with millions of subscribers. And yu just lost this customer. -$30,1,97,
13597,2022-06-08 11:43:43,It won't download. I've tried for 3 days. Not downloading. 👎,1,0,
37564,2022-04-12 17:36:48,"Latest update is terrible, app randomly stops. Play bar at the bottom disappears sometimes, can't control music without constant forced restarts.",1,1,
44729,2022-03-15 06:31:02,"I really loved this app, I'd been using it for over 3 years. However not too long ago, the app stopped working for me and it wouldn't even load my library properly and I ended up with a lot of missing songss and playlists. It also logged me out a few times, was incredibly slow and sometimes wouldn't even play anything at all. I ended up having to cancel my premium subscription because of this. However if there was one thing I always loved about Spotify, it wpould be its recommendations.",1,880,
47031,2022-03-08 18:31:14,"I got logged out of my Spotify account, i don't know how. I'm trying to log back in but it's not working. Please fix this asap.",1,1,
3876,2022-07-01 01:19:06,"I don't know about the paid version; ask someone else about that. As for the free version, way too many ads to even think about enjoying music, not to mention all the politically correct podcasts and musicians. Uninstall...",1,1,
18218,2022-05-26 13:53:04,"This app is not good at all... Comaparing it with apps like gaana and wynk it is far better. But, it keeps saying no internet connection since the very first day. It is very frustrating. After all,the music quality is good but what use is it if the songs are not playing. The amazon music app is a better choice for anyone who is facing this kind of problem. Pathetic app internet!!",1,0,
21853,2022-05-15 17:19:48,"I searched a song, only 1 song came up with that exact name, with all other songs being different to what I searched for. I had to add artists's name and then the song came up. Why didn't this song, despite being named the exact name, show up?",1,0,
40953,2022-03-31 16:37:27,Insists on being the DEFAULT to any audio files on my phone regardless of how many times I uncheck the box in settings. DELETING APP.,1,0,
56288,2022-02-01 06:01:03,A song won't load and it's the only way I can get to sleep. FIX. IT.,1,0,
51731,2022-02-17 10:03:38,"Okay. I admit the app itself is neat. But there's one, big, disgusting issue staring you in the face: its enforcement of premium. Ads are way too frequent. I'm jammin' to something one moment and then dreading the overblown ad scene of our society the next. And god, oh god, the playlist system. I can't even play LOCAL FILES without being forced to listen to COMPLETELY IRRELEVANT SONGS on an irreversible SHUFFLE with NO CONTROL over my own LOCAL FILES. It's laughable. Actually laughable.",2,0,
10070,2022-06-17 04:49:52,To much advertising and most of the music it play ain't even on my list it's just a headache when i want to hear my music.,1,0,
51696,2022-02-17 13:19:21,"Remove those annoying notifications I get +7 times a day ""Going for a drive? We've lined up your favorite podcasts and tunes"". I've already disabled every notifications in the app, so the ball is in your court. I might consider changing my rating IF you remove these annoying notifications.",1,1,
